"m.z"	"r.t"	"p.value"	"t.score"
130.351	128.1	0.130021673	1.522185568
130.5032	90	0.397928558	0.847607847
130.509	151.9	0.784549444	0.273936216
130.5217	149.5	0.305279356	-1.028169743
130.5333	139.2	0.926525118	-0.092358587
130.8978	129.1	0.051197179	-1.971651492
130.9017	225.9	0.54690121	-0.60382326
130.9329	87.4	0.805334256	-0.246957776
130.9664	229.7	0.212411359	-1.251651641
130.9774	223.2	0.592552221	-0.536370467
131.0027	116.9	0.502366082	0.672282337
131.0222	154.3	0.549702159	-0.599352201
131.0469	126.4	0.762404072	0.302886895
131.0492	101.2	0.432625407	0.786694662
131.0533	126.5	0.070473161	1.826786978
131.0703	277.4	0.100793459	1.650056348
131.0821	168.8	0.151918898	-1.445730999
131.0856	29.7	0.354558525	-0.93101482
131.0896	150.7	0.086366473	1.724984322
131.1067	271.8	0.096857503	1.669374452
131.1624	51.1	0.000229781	3.760623792
131.5008	88.4	0.012872958	2.518854439
131.5208	158.9	0.934643934	-0.082129266
131.5335	145.5	0.680455466	0.412812968
131.5735	166.9	0.984953329	0.018894399
131.9298	144.5	0.341471577	0.954282535
131.9669	278.2	0.72793287	-0.348555378
131.9742	205	0.159485117	-1.413513624
132.0033	160.2	0.347742879	0.942000142
132.054	126.3	0.006198028	2.776000552
132.0656	122.7	0.133512234	1.507920453
132.0738	98.1	0.046918781	-2.017299316
132.0768	115.6	0.00013766	3.897427737
132.0808	96.4	0.606470762	0.516095489
132.0914	113.5	0.268463109	1.110135912
132.1019	101.4	0.167892148	1.386365656
132.1301	98.9	0.659450116	0.441551442
132.4097	178.6	0.375384364	-0.889597228
132.4987	90.8	0.249868981	-1.157726571
