m.z	p.value	t.score
816.4934	0.007567414	-3.054487837
462.8602	0.007618871	3.051246629
836.0735	0.007703987	3.045932114
232.0707	0.007754968	-3.04277643
237.0104	0.007824626	-3.038497333
432.3089	0.007954612	3.030611194
276.0894	0.007996626	-3.028089171
334.8839	0.00804984	-3.024913432
279.2039	0.008076771	3.023314038
785.3952	0.008160331	-3.018384624
515.8778	0.008201448	3.015977112
148.0035	0.0082226	3.014743226
110.5209	0.008336421	3.008156345
1177.415	0.008347327	-3.007529838
249.9123	0.008395542	3.004769607
643.3645	0.008496832	2.999021082
333.0266	0.008510619	2.998243845
263.0636	0.008524779	-2.997446821
434.2429	0.008602926	2.993071346
178.0533	0.008610992	-2.992621979
129.0734	0.008669763	2.989359886
708.8582	0.008811134	2.981600745
557.863	0.008849634	2.97950874
227.9427	0.008866515	-2.978594287
165.0481	0.008913601	2.976052542
254.8745	0.008961251	-2.973493631
730.1888	0.009053434	2.968580751
164.9198	0.009163875	2.962758749
266.1712	0.00918081	2.961872069
297.0458	0.009210138	-2.960340249
164.1357	0.009299007	-2.955727589
660.1172	0.009416576	-2.949690909
279.0569	0.009473413	-2.94679889
304.0812	0.009499505	-2.945476887
181.0591	0.009640963	2.938370885
724.9513	0.009681027	2.936376775
220.9179	0.009768493	-2.932051155
161.046	0.009850134	-2.928047505
1955.729	0.00991807	2.924740575
683.6547	0.009948321	2.923275098
111.0387	0.009950681	2.923160941
328.1371	0.009970784	-2.922189714
158.0673	0.010087176	-2.916603731
805.2321	0.010153076	-2.913468781
312.1103	0.010213706	-2.910601977
188.9171	0.010243748	-2.909187642
859.1376	0.01036716	2.903419521
156.0256	0.010393767	-2.90218472
721.3504	0.0104181	-2.901058087
115.0872	0.010475826	2.898395685
858.8321	0.010513059	-2.896685978
239.068	0.010585252	2.893387695
88.50855	0.01066755	-2.88965431
718.371	0.010746697	2.886090176
119.1255	0.010867022	2.880720395
162.038	0.010959655	-2.876625637
1049.171	0.011045802	2.872847688
