"m.z" "r.t" "p.value" "t.score" "log2.fc" "effect.size" "st.dev" "lower.ci" "upper.ci" "mode"
"123.9475" "33.76" "0.143999777576663" "-2.10845384993105" "-0.14444" "-0.632006281559027" "0.0799507584711945" "-1.24812258748063" "-0.0158899756374258" "negative"
"123.9999" "227.58" "0.412531512118972" "1.32128984294102" "1.1755" "0.396054900858357" "0.465446602745948" "-0.21213967469246" "1.00424947640917" "negative"
"123.99991" "91.19" "0.973910214065012" "-0.0700008138512251" "-0.18014" "-0.0209826523211144" "0.272417542937089" "-0.624013833705402" "0.582048529063173" "negative"
"124.0055" "39.95" "0.238918486065316" "-1.76807826597352" "-1.309" "-0.529979145818059" "0.48474981309867" "-1.1422366175232" "0.0822783258870767" "negative"
"124.0176" "37.57" "0.246965453336797" "-1.7448185199254" "-1.0232" "-0.523007067387053" "0.432272195300116" "-1.13502477939354" "0.089010644619434" "negative"
"124.9645" "238.93" "0.799706598457384" "-0.503617866212733" "-0.034972" "-0.150958796163459" "0.22615707132968" "-0.754730397660853" "0.452812805333936" "negative"
"124.9897" "34.37" "0.285909104647694" "1.63370441645726" "2.1478" "0.489700760320401" "0.56743064359311" "-0.1212141983439" "1.1006157189847" "negative"
"125.0027" "40.03" "0.0907677500057468" "-2.37135778690421" "-0.19835" "-0.710811392526511" "0.324176576515827" "-1.33035177834365" "-0.0912710067093743" "negative"
"125.0203" "228.13" "0.19766171887869" "-1.8967350451385" "-0.60443" "-0.568543846961544" "0.326130739700424" "-1.18218302435362" "0.0450953304305319" "negative"
"125.0226" "40.68" "0.000635737821448671" "4.49690842282036" "0.61105" "1.34794241330495" "0.125254330312675" "0.68743108709275" "2.00845373951714" "negative"
"125.0954" "102.82" "5.9770946891439e-19" "-17.3912892431828" "-2.7384" "-5.21301618551474" "0.157415106515389" "-6.41724862992095" "-4.00878374110854" "negative"
"125.9446" "33.81" "0.969367254401795" "-0.0923326563483702" "-0.12184" "-0.0276765928773396" "0.342725063993953" "-0.630718572274669" "0.57536538651999" "negative"
"126.0014" "40.02" "0.00947955727282284" "-3.45734847239278" "-0.93516" "-1.03633567894417" "0.307563580600742" "-1.67396402402239" "-0.398707333865949" "negative"
"126.0261" "37.17" "0.286459511952436" "-1.63129832789646" "0.13774" "-0.488979538423862" "0.420827895556197" "-1.0998713989228" "0.121912322075075" "negative"
"126.9084" "36.26" "0.976639849633217" "-0.0576658607303689" "1.0548" "-0.0172852662695429" "0.465123373177052" "-0.620311757016607" "0.585741224477521" "negative"
"126.9994" "90.14" "0.797310860362193" "0.507697155223102" "-0.28254" "0.152181557704543" "0.551912127549901" "-0.451602316735751" "0.755965432144838" "negative"
"127.0243" "226.83" "0.998721245306194" "-0.00379593679700532" "-0.24739" "-0.00113782708603599" "1.3827405888912" "-0.604154455636484" "0.601878801464412" "negative"
"127.0495" "37.87" "0.763158315044174" "0.584365112598055" "0.14657" "0.17516267756963" "0.174193133201815" "-0.428870223109585" "0.779195578248846" "negative"
"127.111" "102.69" "0.00344391835106707" "-3.85950998114541" "-0.69452" "-1.15688306476493" "0.210475470056302" "-1.80274741529791" "-0.511018714231962" "negative"
"127.9063" "34.04" "0.0436309061004713" "-2.76228354788237" "-0.30434" "-0.827990877659429" "0.120944288507582" "-1.45332261522553" "-0.202659140093325" "negative"
"127.9947" "228.04" "0.91837192038805" "-0.237161939462904" "-0.2014" "-0.0710889809099585" "0.670465189103662" "-0.674273082151511" "0.532095120331594" "negative"
"127.9948" "90.5" "0.982487459491069" "-0.0427112269215334" "0.06652" "-0.0128026343609014" "0.503176848320961" "-0.615824653842356" "0.590219385120553" "negative"
"128.0336" "226.49" "0.76651187579791" "-0.575500934789605" "-0.010685" "-0.172505651874722" "0.078712817891405" "-0.776507978602764" "0.431496674853321" "negative"
"128.03361" "35.09" "0.229419001744041" "-1.79195087475561" "-0.43502" "-0.53713492905134" "0.322109521015914" "-1.14964167982574" "0.075371821723056" "negative"
"128.0528" "41.09" "0.418297263019742" "1.31058222313136" "0.43245" "0.392845305836645" "0.422089645764645" "-0.21526603590519" "1.00095664757848" "negative"
"128.8697" "33.55" "0.910647549973173" "0.257697727040637" "0.045808" "0.0772445563551186" "0.148046591464709" "-0.525969806182035" "0.680458918892272" "negative"
"128.9707" "41.35" "0.205865253260056" "-1.86267595271796" "-0.19859" "-0.558334678591706" "0.147029893817635" "-1.17159894569004" "0.0549295885066292" "negative"
"128.9788" "85.74" "0.873330479899678" "-0.347187638780033" "0.12256" "-0.10406904025706" "0.213985291004114" "-0.707444568393335" "0.499306487879216" "negative"
"128.97881" "94.46" "0.535019022740809" "1.04247115970222" "0.29064" "0.312479365530088" "0.343139431530767" "-0.293765659981827" "0.918724391042002" "negative"
"129.0026" "244.49" "0.397101707861264" "-1.35595981690022" "-0.19936" "-0.406447180169767" "0.29175593266213" "-1.01491582280559" "0.202021462466058" "negative"
"129.0038" "228.19" "0.163273192637703" "-2.03126445643439" "-0.1206" "-0.608868861899015" "0.0610027488101038" "-1.22405288153404" "0.00631515773601332" "negative"
"129.0368" "34.77" "0.832450920476201" "-0.437243375774378" "-0.50006" "-0.131063129538509" "0.310150827849246" "-0.734648918159774" "0.472522659082756" "negative"
"129.037" "226.06" "0.393642824919238" "-1.36359984663985" "-0.55287" "-0.408737269083452" "0.201407914486946" "-1.0172672439029" "0.199792705736" "negative"
"129.0539" "41.55" "0.184854834345645" "1.94451654038636" "0.19205" "0.5828662876163" "0.937248795930438" "-0.0313099021535233" "1.19704247738612" "negative"
"129.0904" "102.41" "0.395912997048886" "-1.358554762222" "-0.26419" "-0.407225011633199" "0.338088799192811" "-1.01571444786702" "0.201264424600624" "negative"
"129.8775" "34.45" "0.873330479899678" "0.349533524739764" "0.36302" "0.104772216502734" "0.392063068124803" "-0.498608177176732" "0.7081526101822" "negative"
"129.9611" "94.97" "0.386519263403025" "-1.38147543660554" "-0.32847" "-0.414095453776591" "0.288922000261505" "-1.02277025103899" "0.194579343485804" "negative"
"130.0129" "227.86" "0.617846774909656" "-0.879204365433272" "-0.08073" "-0.263540357663563" "0.126993203952183" "-0.868855094026891" "0.341774378699764" "negative"
"130.0492" "40.68" "0.968547106152806" "0.0957187182914401" "0.2574" "0.028691560512433" "0.515448700707076" "-0.574352315494996" "0.631735436519862" "negative"
"130.0855" "53.98" "0.70557888387659" "0.701329773153116" "0.026381" "0.210222681464729" "0.827137774172887" "-0.394257238428967" "0.814702601358425" "negative"
"130.0937" "102.51" "0.00983785725713134" "-3.441915352034" "-0.23856" "-1.03170962131852" "0.0744214703317793" "-1.66903794934347" "-0.394381293293566" "negative"
"130.9425" "44.46" "0.873330479899678" "0.348099817434057" "0.089678" "0.104342464614565" "0.151246485567007" "-0.499034951560028" "0.707719880789159" "negative"
